cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
3564536239073476,Kathryn,Mullins,F,5969 Garcia Park Suite 658,Jenkinsfurt,Arizona,38463,-89.840069,28.476847,Tour manager,1995-07-09
4939510545903,Joseph,White,F,0699 Meadows Squares Suite 468,Lake Cathy,New York,17556,4.920471,-87.387007,Water quality scientist,1993-03-23
6011468490518555,Matthew,Williams,F,0683 Martinez Ford,Rogersstad,Wisconsin,99165,-53.6588775,98.798100,Colour technologist,1977-12-14
213164960789680,Debbie,Mcbride,F,48305 Whitney Pine,Nicolehaven,South Carolina,08290,-69.5705815,96.495707,Recycling officer,1977-12-07
3511597588092982,Matthew,French,F,2705 Burnett Station,Jonesborough,Idaho,28094,2.3712705,55.145108,"Scientist, audiological",1942-10-27
3544411918060654,Frank,Nelson,F,186 King Gardens,Jenningstown,Wisconsin,90447,-62.3410425,-173.926287,Advertising copywriter,1966-06-08
3537438181804855,Heather,Clark,M,70456 Larry Harbor Suite 894,North Billy,Virginia,04353,-64.4966305,165.949258,Aeronautical engineer,2002-08-29
36006637664223,Thomas,Jackson,M,4127 Ellison Land,Juanshire,Hawaii,41980,-50.155474,-33.482250,Surgeon,1981-02-27
213148717764773,Oscar,Powell,F,161 Fry Summit,South Lauren,North Carolina,31655,-86.2665195,147.192573,Risk analyst,1960-06-21
30409743332857,Gregg,Ramirez,F,34975 Richardson Estate,Haleyshire,South Carolina,48459,-29.5783565,146.619949,Dramatherapist,1963-09-19
4403512955491567,James,Oneal,F,80572 Christy Forks,North Helenmouth,Maine,53238,-82.7570035,179.852540,Production manager,1985-07-22
180004824159978,Jennifer,Blevins,M,4620 Hamilton Port,North Lorifort,Kentucky,30539,-13.7106805,-82.048120,"Teacher, music",1994-03-06
3532116919818521,Tina,Morales,M,8913 Williams Parks Apt. 018,Guerraview,Maryland,63283,-12.6362295,-25.508792,Corporate investment banker,2003-06-29
6011979721135415,Johnny,Mckinney,M,4686 Bridges Forges Suite 789,South Bobby,Wyoming,07601,-37.925154,-67.547489,"Teacher, early years/pre",1956-08-25
213177875597188,William,Davis,M,9470 Natasha Station,Meganstad,Texas,55092,7.6819215,108.558971,"Accountant, chartered management",1935-05-20
373646743924754,Jon,Meyer,F,645 Griffin Brook,Johnchester,Massachusetts,60656,76.072834,-15.219116,"Designer, textile",1939-11-20
4369465551909742,Shane,Lee,F,95332 Cook Tunnel Apt. 601,East Jonathanfort,Hawaii,45684,-37.8523185,-130.257707,"Psychologist, educational",2002-08-15
3563707466687483,Abigail,Soto,F,1033 Kimberly Shores,West Cassandrastad,Indiana,74599,79.678290,158.156799,Computer games developer,1952-06-02
2287623680416038,Kimberly,Rodriguez,F,31737 Kirk Locks,Scotttown,Mississippi,03909,33.291081,145.004719,"Engineer, structural",1965-04-27
4965836602278464626,Jacob,Green,M,27836 Amy Unions,Cruzburgh,California,16413,-63.573410,-83.299915,Chief Marketing Officer,1947-05-22
4441646681850,Kurt,Johnson,F,44641 Garner Skyway,Perezhaven,Delaware,06813,23.035791,101.346022,Artist,1970-11-05
371980303831386,Connie,Johnson,M,5623 Franco Forks,Ashleyburgh,Washington,83504,-38.349984,-103.441578,Psychotherapist,1977-02-06
