cc_num,first,last,trans_num,trans_date,trans_time,unix_time,category,amt,merchant,merch_lat,merch_long,is_fraud
30528481728867,David,Williams,c917f8b4-8ff2-4860-9279-63051f823117,2024-04-30,17:43:40,1714524220,groceries,705.15,Rodriguez-Duncan,25.196280,179.439938,0
4251322344669,Jacqueline,White,760937ed-2a2e-4315-aefb-ccd87e86a3ae,2024-02-10,22:28:32,1707632912,food,964.55,"Mclaughlin, Moran and Smith",22.345831,-172.287342,0
4562209792500668831,Michelle,Dixon,3ed141cf-2fb4-492f-be6d-e711a1fd5aeb,2024-03-29,01:00:04,1711699204,misc_net,461.84,Weber Ltd,-48.686284,18.040622,0
3564536239073476,Kathryn,Mullins,cdae501f-e2e3-4516-bb0f-c44b683ff4fa,2024-05-05,06:12:54,1714914774,health,343.91,Sanchez and Sons,-55.729237,-103.852426,0
6011411436098845,Laurie,Reynolds,8477e91c-e042-418c-bab1-67cccffc8d2b,2024-05-02,13:33:59,1714682039,gas_transport,57.79,Griffin Inc,-23.796052,-51.215172,0
4629239867139478371,Isaiah,Jacobson,ace82cb0-a279-43fe-9e66-5e3beaec9f13,2024-02-01,15:37:10,1706830630,clothing,922.38,Martin Ltd,-74.6237695,-76.624360,0
4768977802057614436,Gabrielle,Howard,cc5277a8-15f5-468c-b6d0-fac680671be5,2024-03-14,08:43:56,1710431036,gas_transport,681.78,Stout PLC,54.561220,88.873434,1
3549151345970746,Gerald,Dominguez,0ac6d1a0-63b7-452d-a34c-8a29eb58bc4a,2024-03-25,17:09:10,1711411750,health,552.64,Lopez Group,-73.686053,-112.257787,1
2270390313189155,Sierra,Warren,e7f73ce5-5bf1-4299-bc5a-d812f6aa9068,2024-01-15,18:56:39,1705373799,clothing,650.25,King-Preston,-10.272932,-29.109119,1
373646743924754,Jon,Meyer,761b57c1-3fd9-4911-84e9-0f7633f743e7,2024-04-02,09:14:24,1712074464,clothing,630.42,Mercado and Sons,-39.7734065,106.428517,0
